DateTime,Rain,EPot,EAct,W,SM,Infil,R,RObs
2012-06-05 03:00:00,       0.158,       0.081,       0.013,      19.987,       0.001,       0.026,      21.424,       0.000
2012-06-05 04:00:00,       0.158,       0.081,       0.013,      19.975,       0.001,       0.000,      21.900,       0.000
2012-06-05 05:00:00,       0.158,       0.081,       0.013,      19.962,       0.002,       0.000,      21.899,       0.000
2012-06-05 06:00:00,       0.158,       0.098,       0.015,      19.947,       0.001,       0.000,      21.905,       0.000
2012-06-05 07:00:00,       0.158,       0.098,       0.015,      19.932,       0.002,       0.000,      21.996,       0.000
2012-06-05 08:00:00,       0.158,       0.098,       0.015,      19.917,       0.000,       0.000,      22.091,       0.000
2012-06-05 09:00:00,       0.158,       0.074,       0.012,      19.906,       0.003,       0.000,      22.131,       0.000
2012-06-05 10:00:00,       0.160,       0.074,       0.071,      20.208,       0.404,       0.303,      22.122,       0.000
2012-06-05 11:00:00,       0.161,       0.074,       0.053,      20.336,       0.198,       0.131,      22.107,       0.000
2012-06-05 12:00:00,       0.161,       0.022,       0.010,      20.348,       0.026,       0.013,      22.127,       0.000
2012-06-05 13:00:00,       0.161,       0.022,       0.004,      20.344,       0.000,       0.000,      22.204,       0.000
2012-06-05 14:00:00,       0.161,       0.022,       0.004,      20.341,       0.000,       0.000,      22.338,       0.000
